data_id,site_id,data_name,EAC,GI,TM,the_date,hour,month,day
551730,39,CPC_D414Z01.xlsx,0.208,13.1833333333333,25.5166666666667,2019-07-01,5,7,1
551731,39,CPC_D414Z01.xlsx,1.82,95.4333333333333,29.7166666666667,2019-07-01,6,7,1
551732,39,CPC_D414Z01.xlsx,4.838,244.783333333333,36.9333333333333,2019-07-01,7,7,1
551733,39,CPC_D414Z01.xlsx,7.831,414.7,42.9,2019-07-01,8,7,1
551734,39,CPC_D414Z01.xlsx,10.264,595.516666666667,46.5666666666667,2019-07-01,9,7,1
551735,39,CPC_D414Z01.xlsx,11.06,687.516666666667,49.2166666666667,2019-07-01,10,7,1
551736,39,CPC_D414Z01.xlsx,9.79300000000001,577.65,46.75,2019-07-01,11,7,1
551737,39,CPC_D414Z01.xlsx,9.965,615.75,47.4166666666667,2019-07-01,12,7,1
551738,39,CPC_D414Z01.xlsx,12.171,753.366666666667,48.7166666666667,2019-07-01,13,7,1
551739,39,CPC_D414Z01.xlsx,9.92699999999999,574.133333333333,46.4333333333333,2019-07-01,14,7,1
551740,39,CPC_D414Z01.xlsx,8.45999999999999,445.233333333333,43.8666666666667,2019-07-01,15,7,1
551741,39,CPC_D414Z01.xlsx,4.705,240.75,39.9,2019-07-01,16,7,1
551742,39,CPC_D414Z01.xlsx,1.569,88.1666666666667,35.45,2019-07-01,17,7,1
551743,39,CPC_D414Z01.xlsx,0.278000000000006,17.7166666666667,32.3333333333333,2019-07-01,18,7,1
551745,39,CPC_D414Z01.xlsx,0.258,15.8,28.3166666666667,2019-07-02,5,7,2
551746,39,CPC_D414Z01.xlsx,1.088,54.95,30.4833333333333,2019-07-02,6,7,2
551747,39,CPC_D414Z01.xlsx,1.099,50.4666666666667,28.6666666666667,2019-07-02,7,7,2
551748,39,CPC_D414Z01.xlsx,3.961,186.133333333333,32.7,2019-07-02,8,7,2
551749,39,CPC_D414Z01.xlsx,7.602,401.15,40.8833333333333,2019-07-02,9,7,2
551750,39,CPC_D414Z01.xlsx,7.181,370.683333333333,42.3333333333333,2019-07-02,10,7,2
551751,39,CPC_D414Z01.xlsx,7.46,399.966666666667,40.9666666666667,2019-07-02,11,7,2
