data_id,site_id,data_name,EAC,GI,TM,the_date,hour,month,day
548325,38,CPC_D414Z01.xlsx,0.208,13.1833333333333,25.5166666666667,2019-07-01,5,7,1
548326,38,CPC_D414Z01.xlsx,1.82,95.4333333333333,29.7166666666667,2019-07-01,6,7,1
548327,38,CPC_D414Z01.xlsx,4.838,244.783333333333,36.9333333333333,2019-07-01,7,7,1
548328,38,CPC_D414Z01.xlsx,7.831,414.7,42.9,2019-07-01,8,7,1
548329,38,CPC_D414Z01.xlsx,10.264,595.516666666667,46.5666666666667,2019-07-01,9,7,1
548330,38,CPC_D414Z01.xlsx,11.06,687.516666666667,49.2166666666667,2019-07-01,10,7,1
548331,38,CPC_D414Z01.xlsx,9.79300000000001,577.65,46.75,2019-07-01,11,7,1
548332,38,CPC_D414Z01.xlsx,9.965,615.75,47.4166666666667,2019-07-01,12,7,1
548333,38,CPC_D414Z01.xlsx,12.171,753.366666666667,48.7166666666667,2019-07-01,13,7,1
548334,38,CPC_D414Z01.xlsx,9.92699999999999,574.133333333333,46.4333333333333,2019-07-01,14,7,1
548335,38,CPC_D414Z01.xlsx,8.45999999999999,445.233333333333,43.8666666666667,2019-07-01,15,7,1
548336,38,CPC_D414Z01.xlsx,4.705,240.75,39.9,2019-07-01,16,7,1
548337,38,CPC_D414Z01.xlsx,1.569,88.1666666666667,35.45,2019-07-01,17,7,1
548338,38,CPC_D414Z01.xlsx,0.278000000000006,17.7166666666667,32.3333333333333,2019-07-01,18,7,1
548340,38,CPC_D414Z01.xlsx,0.258,15.8,28.3166666666667,2019-07-02,5,7,2
548341,38,CPC_D414Z01.xlsx,1.088,54.95,30.4833333333333,2019-07-02,6,7,2
548342,38,CPC_D414Z01.xlsx,1.099,50.4666666666667,28.6666666666667,2019-07-02,7,7,2
548343,38,CPC_D414Z01.xlsx,3.961,186.133333333333,32.7,2019-07-02,8,7,2
548344,38,CPC_D414Z01.xlsx,7.602,401.15,40.8833333333333,2019-07-02,9,7,2
548345,38,CPC_D414Z01.xlsx,7.181,370.683333333333,42.3333333333333,2019-07-02,10,7,2
548346,38,CPC_D414Z01.xlsx,7.46,399.966666666667,40.9666666666667,2019-07-02,11,7,2
548347,38,CPC_D414Z01.xlsx,10.529,591.033333333333,41.1833333333333,2019-07-02,12,7,2
548348,38,CPC_D414Z01.xlsx,11.484,672.216666666667,44.9666666666667,2019-07-02,13,7,2
548349,38,CPC_D414Z01.xlsx,8.594,479.633333333333,42.2166666666667,2019-07-02,14,7,2
548350,38,CPC_D414Z01.xlsx,7.691,393.916666666667,38.75,2019-07-02,15,7,2
548351,38,CPC_D414Z01.xlsx,5.70100000000001,287.316666666667,37.25,2019-07-02,16,7,2
548352,38,CPC_D414Z01.xlsx,2.139,108.183333333333,33.45,2019-07-02,17,7,2
