data_id,site_id,data_name,EAC,GI,TM,the_date,hour,month,day
78333,28,CPC_D414Z01.xlsx,0.208,13.1833333333333,25.5166666666667,2019-07-01,5,7,1
78334,28,CPC_D414Z01.xlsx,1.82,95.4333333333333,29.7166666666667,2019-07-01,6,7,1
78335,28,CPC_D414Z01.xlsx,4.838,244.783333333333,36.9333333333333,2019-07-01,7,7,1
78336,28,CPC_D414Z01.xlsx,7.831,414.7,42.9,2019-07-01,8,7,1
78337,28,CPC_D414Z01.xlsx,10.264,595.516666666667,46.5666666666667,2019-07-01,9,7,1
78338,28,CPC_D414Z01.xlsx,11.06,687.516666666667,49.2166666666667,2019-07-01,10,7,1
78339,28,CPC_D414Z01.xlsx,9.79300000000001,577.65,46.75,2019-07-01,11,7,1
78340,28,CPC_D414Z01.xlsx,9.965,615.75,47.4166666666667,2019-07-01,12,7,1
78341,28,CPC_D414Z01.xlsx,12.171,753.366666666667,48.7166666666667,2019-07-01,13,7,1
78342,28,CPC_D414Z01.xlsx,9.92699999999999,574.133333333333,46.4333333333333,2019-07-01,14,7,1
78343,28,CPC_D414Z01.xlsx,8.45999999999999,445.233333333333,43.8666666666667,2019-07-01,15,7,1
78344,28,CPC_D414Z01.xlsx,4.705,240.75,39.9,2019-07-01,16,7,1
78345,28,CPC_D414Z01.xlsx,1.569,88.1666666666667,35.45,2019-07-01,17,7,1
78346,28,CPC_D414Z01.xlsx,0.278000000000006,17.7166666666667,32.3333333333333,2019-07-01,18,7,1
78348,28,CPC_D414Z01.xlsx,0.258,15.8,28.3166666666667,2019-07-02,5,7,2
78349,28,CPC_D414Z01.xlsx,1.088,54.95,30.4833333333333,2019-07-02,6,7,2
78350,28,CPC_D414Z01.xlsx,1.099,50.4666666666667,28.6666666666667,2019-07-02,7,7,2
78351,28,CPC_D414Z01.xlsx,3.961,186.133333333333,32.7,2019-07-02,8,7,2
78352,28,CPC_D414Z01.xlsx,7.602,401.15,40.8833333333333,2019-07-02,9,7,2
78353,28,CPC_D414Z01.xlsx,7.181,370.683333333333,42.3333333333333,2019-07-02,10,7,2
78354,28,CPC_D414Z01.xlsx,7.46,399.966666666667,40.9666666666667,2019-07-02,11,7,2
78355,28,CPC_D414Z01.xlsx,10.529,591.033333333333,41.1833333333333,2019-07-02,12,7,2
78356,28,CPC_D414Z01.xlsx,11.484,672.216666666667,44.9666666666667,2019-07-02,13,7,2
78357,28,CPC_D414Z01.xlsx,8.594,479.633333333333,42.2166666666667,2019-07-02,14,7,2
78358,28,CPC_D414Z01.xlsx,7.691,393.916666666667,38.75,2019-07-02,15,7,2
78359,28,CPC_D414Z01.xlsx,5.70100000000001,287.316666666667,37.25,2019-07-02,16,7,2
78360,28,CPC_D414Z01.xlsx,2.139,108.183333333333,33.45,2019-07-02,17,7,2
78361,28,CPC_D414Z01.xlsx,0.303000000000011,17.7,31.25,2019-07-02,18,7,2
78363,28,CPC_D414Z01.xlsx,0.077,5.66666666666667,25.3333333333333,2019-07-03,5,7,3
78364,28,CPC_D414Z01.xlsx,1.352,65.5,26.9166666666667,2019-07-03,6,7,3
78365,28,CPC_D414Z01.xlsx,2.428,111.65,30.6333333333333,2019-07-03,7,7,3
78366,28,CPC_D414Z01.xlsx,4.395,200.4,30.2833333333333,2019-07-03,8,7,3
78367,28,CPC_D414Z01.xlsx,3.954,172.866666666667,30.0333333333333,2019-07-03,9,7,3
78368,28,CPC_D414Z01.xlsx,7.419,356.966666666667,36.65,2019-07-03,10,7,3
78369,28,CPC_D414Z01.xlsx,4.412,194.7,29.9166666666667,2019-07-03,11,7,3
78370,28,CPC_D414Z01.xlsx,5.888,267.4,32.4333333333333,2019-07-03,12,7,3
78371,28,CPC_D414Z01.xlsx,7.092,356.666666666667,39.3333333333333,2019-07-03,13,7,3
78372,28,CPC_D414Z01.xlsx,4.43,207.633333333333,33.2833333333333,2019-07-03,14,7,3
78373,28,CPC_D414Z01.xlsx,3.863,183.6,32.5833333333333,2019-07-03,15,7,3
78374,28,CPC_D414Z01.xlsx,3.064,138.533333333333,29.2166666666667,2019-07-03,16,7,3
78375,28,CPC_D414Z01.xlsx,1.888,94.3666666666667,30.7333333333333,2019-07-03,17,7,3
78376,28,CPC_D414Z01.xlsx,0.231000000000002,14.3666666666667,28.2666666666667,2019-07-03,18,7,3
78378,28,CPC_D414Z01.xlsx,0.144,10.6833333333333,26.4,2019-07-04,5,7,4
78379,28,CPC_D414Z01.xlsx,1.296,69.05,29.4833333333333,2019-07-04,6,7,4
78380,28,CPC_D414Z01.xlsx,3.712,187.166666666667,34.6833333333333,2019-07-04,7,7,4
78381,28,CPC_D414Z01.xlsx,8.778,470.733333333333,44.9666666666667,2019-07-04,8,7,4
78382,28,CPC_D414Z01.xlsx,10.595,621.766666666667,50.15,2019-07-04,9,7,4
78383,28,CPC_D414Z01.xlsx,10.546,601.216666666667,45.7166666666667,2019-07-04,10,7,4
78384,28,CPC_D414Z01.xlsx,9.066,486.016666666667,41.25,2019-07-04,11,7,4
78385,28,CPC_D414Z01.xlsx,4.716,225.433333333333,35.2,2019-07-04,12,7,4
78386,28,CPC_D414Z01.xlsx,2.278,100.683333333333,27.8833333333333,2019-07-04,13,7,4
78387,28,CPC_D414Z01.xlsx,3.555,158.933333333333,32.8,2019-07-04,14,7,4
78388,28,CPC_D414Z01.xlsx,3.606,170.416666666667,35.0166666666667,2019-07-04,15,7,4
78389,28,CPC_D414Z01.xlsx,2.46700000000001,118.133333333333,33.8666666666667,2019-07-04,16,7,4
78390,28,CPC_D414Z01.xlsx,1.139,57.4333333333333,31.5833333333333,2019-07-04,17,7,4
78391,28,CPC_D414Z01.xlsx,0.168999999999997,10.1666666666667,29.3333333333333,2019-07-04,18,7,4
78393,28,CPC_D414Z01.xlsx,0.622,30.7833333333333,27.1833333333333,2019-07-05,5,7,5
78394,28,CPC_D414Z01.xlsx,1.5,72.75,28.6666666666667,2019-07-05,6,7,5
78395,28,CPC_D414Z01.xlsx,2.298,113.583333333333,30.6666666666667,2019-07-05,7,7,5
78396,28,CPC_D414Z01.xlsx,5.297,273.983333333333,37.35,2019-07-05,8,7,5
78397,28,CPC_D414Z01.xlsx,10.566,599.55,48.3833333333333,2019-07-05,9,7,5
78398,28,CPC_D414Z01.xlsx,8.678,517.166666666667,46.2166666666667,2019-07-05,10,7,5
78399,28,CPC_D414Z01.xlsx,1.426,67.25,26.8666666666667,2019-07-05,11,7,5
78400,28,CPC_D414Z01.xlsx,8.267,410.766666666667,38.2666666666667,2019-07-05,12,7,5
78401,28,CPC_D414Z01.xlsx,8.20200000000001,416.533333333333,41.1166666666667,2019-07-05,13,7,5
78402,28,CPC_D414Z01.xlsx,9.756,515.333333333333,42.5166666666667,2019-07-05,14,7,5
78403,28,CPC_D414Z01.xlsx,5.817,287.1,37.9,2019-07-05,15,7,5
78404,28,CPC_D414Z01.xlsx,2.987,143.833333333333,35.7333333333333,2019-07-05,16,7,5
78405,28,CPC_D414Z01.xlsx,1.321,66.8166666666667,33.0,2019-07-05,17,7,5
78406,28,CPC_D414Z01.xlsx,0.176000000000002,10.4833333333333,30.0666666666667,2019-07-05,18,7,5
78408,28,CPC_D414Z01.xlsx,0.084,6.61666666666667,27.4333333333333,2019-07-06,5,7,6
78409,28,CPC_D414Z01.xlsx,1.556,78.7833333333333,29.9666666666667,2019-07-06,6,7,6
78410,28,CPC_D414Z01.xlsx,2.639,130.25,33.35,2019-07-06,7,7,6
78411,28,CPC_D414Z01.xlsx,3.307,161.716666666667,35.4333333333333,2019-07-06,8,7,6
